animal_id,has_name,is_adopted,sex_male,spay_neuter,cfa_approved,is_kitten,season_Fall,season_Spring,season_Summer,season_Winter,is_weekend,time_of_day_Afternoon,time_of_day_Closed,time_of_day_Morning,is_shorthair,is_solid_pattern,color_black,color_other,color_white
A685901,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0
A688808,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
A677564,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0
A686753,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A681157,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0
A688748,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
A671184,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
A692887,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
A691711,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
A679410,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0
A664283,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0
A679085,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
A673970,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
A676600,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
A628628,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
A676541,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0
A678653,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
A678951,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A668012,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
A678837,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
A690090,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
A677443,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
A627272,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
A589009,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
A693245,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
A679579,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
A674688,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0
A665668,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
A667007,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0
A675115,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
A664442,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0
A689499,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
A666677,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
A674737,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0
A674564,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A676440,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
A662822,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
A677216,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0
A687041,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
A689349,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
A668549,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
A635698,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
A687495,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0
A664070,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1
A668908,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
A668683,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
A676213,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A674396,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
A686214,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1
A683238,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A680461,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1
A677282,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0
A665145,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A686795,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
A688059,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
A688519,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0
A682075,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A679737,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
A679717,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
A672589,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
A672516,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
A666154,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A670830,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A674282,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A683186,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
A691275,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
A674726,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
A685949,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
A670892,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
A678198,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
A689268,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0
A679696,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A682837,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
A681531,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
A676170,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A688321,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
A678650,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
A686466,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
A679923,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A668405,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A669603,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
A682002,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
A685147,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A675482,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0
A669791,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0
A689965,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A688158,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
A688809,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
A675125,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
A689193,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
A683797,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A678823,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
A627604,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
A688096,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
A679292,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
A687682,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A689146,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
A679452,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
A674929,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
A680094,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0
A683657,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A668746,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
A687017,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
A675462,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0
A668328,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0
A671160,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A665084,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A689634,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0
A688598,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0
A680868,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
A679031,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
A665666,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
A684011,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
A680380,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A685282,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
A684441,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A681828,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0
A688627,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
A686974,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0
A686736,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
A690326,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A692370,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A686063,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
A683415,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
A680129,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
A688995,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
A650349,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A668323,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
A674755,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
A662943,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0
A679310,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0
A680242,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A682044,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
A667357,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A679451,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
A681101,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A688553,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
A683200,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
A678051,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
A676804,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0
A691496,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
A665893,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A691626,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A672194,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
A690804,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A671534,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
A667951,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
A676084,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A665425,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0
A685559,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
A678202,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
A688967,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
A679723,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
A671938,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A678385,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
A687458,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
A693770,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0
A678867,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
A685652,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
A685062,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
A690811,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A676948,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A665896,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0
A665256,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A683328,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
A668560,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
A690327,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A682828,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A683418,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
A664265,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
A687690,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0
A666536,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0
A683875,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A667606,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0
A670007,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A686996,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0
A677306,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A691704,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A668743,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
A679315,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
A685106,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A671528,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
A684965,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
A665611,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
A679487,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
A665609,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
A648775,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A685358,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A687137,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0
A677278,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0
A666109,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
A685417,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0
A676705,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
A668705,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
A681986,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
A692355,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A679797,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A690075,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
A685145,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0
A682065,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0
A676400,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
A686224,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
A687766,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A678376,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0
A689989,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
A677364,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0
A674736,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
A683139,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
A682974,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0
A685096,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
A689765,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0
A682286,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
A683526,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
A686812,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0
A664641,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
A691439,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
